Scorer,Spearman rho,Pearson r,MAE,NDCG@10 (norm.),Wilcoxon vs BM25
Jaccard,0.489 ± 0.044,0.488 ± 0.048,44.020 ± 1.499,0.794 ± 0.022,p=3.8e-28
TF-IDF,0.585 ± 0.054,0.573 ± 0.051,42.765 ± 1.517,0.816 ± 0.017,p=1.8e-27
BM25,0.452 ± 0.048,0.440 ± 0.049,20.560 ± 0.664,0.744 ± 0.071,—
Keyword (ours base),0.608 ± 0.028,0.597 ± 0.029,20.082 ± 0.485,0.805 ± 0.028,p=0.52
Semantic (ours),0.820 ± 0.030,0.816 ± 0.026,12.129 ± 0.729,0.876 ± 0.032,p=6.1e-06
Cross-Encoder (ours),0.587 ± 0.019,0.456 ± 0.020,37.593 ± 1.379,0.741 ± 0.035,p=4.7e-10
